Name,Prefix,Suffix,IsPassenger,IsFreight,IsShunting,Color
PassengerTrain,Pt,,true,false,false,#ff4000
LocalTrain,Lt,,true,false,false,#ff0000
RegionalTrain,RE,,true,false,false,#ff0000
FreightTrain,G,,false,true,false,#0040ff
SpecialFreightTrain,Gt,,false,true,false,#6600ff
FreightExpressTrain,Gxt,,false,true,false,#0000ff
LocalFreightTrain,Lgt,,false,true,false,#668cff
MailTrain,P,,false,true,false,#00ffbf
InterCity,IC,,true,false,false,#ff4000
InterRegio,IR,,true,false,false,#ff4000
OreTrain,Mt,,false,true,false,#4000ff
LocomotorTrain,Z,,false,true,false,#c2c2c2
EuroCity,EC,,true,false,false,#cc0066
EuroNight,EN,,true,false,false,#993366
ShuntingTask,Vx,,false,true,true,#996633
ServiceTrain,Tj,,false,false,false,#808080
